id,type,parent_id,scaffold_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
109,GU,90,2,0,NAT,NA,NA,0,0.3845479152032,9,NA,3
110,GU,109,2,1,NAT,NA,NA,0,0.334010307214352,6,NA,3
111,GU,110,2,0,NAT,NA,NA,7,0.278811091427304,7,E16_03B,3
112,GU,111,2,1,NAT,NA,NA,111,0.215,5,E16_03B,3
113,GU,17,2,1,NAT,NA,NA,0,1.61058778032589,15,NA,3
114,GU,113,2,1,NAT,NA,NA,0,1.54601367207911,15,NA,3
115,GU,114,2,1,NAT,NA,NA,0,1.76607223594708,14,NA,3
116,GU,115,2,0,NAT,NA,NA,0,1.39930638605387,13,NA,3
117,GU,116,2,1,NAT,NA,NA,0,1.48541028751095,11,NA,3
118,GU,117,2,1,2020-09-12,1,1,0,1.0625,20,NA,3
119,GU,118,2,0,NAT,NA,NA,3,0.236,9,E16_37H,3
120,GU,118,2,0,NAT,NA,NA,5,0.277570928299569,10,E16_37H,3
121,GU,120,2,1,NAT,NA,NA,0,0.2135,4,E16_37H,3
122,GU,118,2,0,NAT,NA,NA,1,0.354082070602402,5,E16_37H,3
123,GU,122,2,1,2020-09-12,1,1,1,0.301,10,E16_37H,3
124,GU,117,2,0,NAT,NA,NA,0,0.6525,12,E16_37F,3
125,GU,124,2,0,NAT,NA,NA,5,0.513702384200017,13,E16_37G,3
126,GU,125,2,1,NAT,NA,NA,4,0.473471073119993,17,E16_37G,3
127,GU,126,2,1,2020-09-12,1,1,16,0.4165,19,E16_37F,3
128,GU,126,2,0,NAT,NA,NA,1,0.1725,9,E16_37F,3
129,GU,125,2,0,NAT,NA,NA,2,0.1615,7,E16_37G,3
130,GU,117,2,0,NAT,NA,NA,0,0.875,17,NA,3
131,GU,130,2,0,NAT,NA,NA,3,0.285058081060483,8,E16_37E,3
132,GU,131,2,1,NAT,NA,NA,2,0.2225,6,E16_37E,3
133,GU,130,2,0,NAT,NA,NA,5,0.303356619796049,10,E16_37E,3
134,GU,133,2,1,NAT,NA,NA,3,0.244,6,E16_37E,3
135,GU,130,2,0,NAT,NA,NA,1,0.425168517541757,6,E16_37E,3
136,GU,135,2,1,NAT,NA,NA,3,0.377096176302657,8,E16_37E,3
137,GU,136,2,1,NAT,NA,NA,8,0.326,15,E16_37E,3
138,GU,117,2,0,2020-09-12,1,1,0,1.0905,23,E16_37D,3
139,GU,138,2,0,NAT,NA,NA,5,0.391546196770042,12,E16_37D,3
140,GU,139,2,1,NAT,NA,NA,9,0.3415,12,E16_37D,3
141,GU,138,2,0,NAT,NA,NA,4,0.264,10,E16_37D,3
142,GU,116,2,0,NAT,NA,NA,6,0.2235,10,E16_37D,3
143,GU,115,2,0,NAT,NA,NA,0,1.29347311304186,11,NA,3
144,GU,143,2,1,NAT,NA,NA,0,1.23786370140812,10,NA,3
145,GU,144,2,1,NAT,NA,NA,0,1.29,20,NA,3
146,GU,145,2,0,NAT,NA,NA,4,0.548715891042956,11,E16_37I,3
147,GU,146,2,1,2020-09-12,1,1,4,0.504264115576436,15,E16_37I,3
148,GU,147,2,1,2020-09-12,1,1,9,0.459,13,E16_37I,3
149,GU,145,2,0,NAT,NA,NA,0,0.252719406729845,9,NA,3
150,GU,149,2,1,NAT,NA,NA,2,0.1825,4,E16_37J,3
151,GU,145,2,0,NAT,NA,NA,3,0.495586174351389,7,E16_37J,3
152,GU,151,2,1,2020-09-12,1,1,6,0.3665,18,E16_37J,3
